"model","chunk_words","overlap_words","k","split","question_id","question","expected_pages","evidence_hit","page_hit","first_evidence_rank","first_page_rank","reciprocal_rank","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question"
"all-minilm","200","0","5","development","Q004","How are grain-induced forces represented when Heinrich and Desoyer pass from micro-flow to macro-flow?","310","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q004","How are grain-induced forces represented when Heinrich and Desoyer pass from micro-flow to macro-flow?","310","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q005","What physical behavior of soil particles is omitted when water motion is modeled only with Darcy's law?","314","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q005","What physical behavior of soil particles is omitted when water motion is modeled only with Darcy's law?","314","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q005","What physical behavior of soil particles is omitted when water motion is modeled only with Darcy's law?","314","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q005","What physical behavior of soil particles is omitted when water motion is modeled only with Darcy's law?","314","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q006","Why are Derski's solid and fluid velocities easier to validate experimentally than Biot's fluid velocity variable?","318","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q006","Why are Derski's solid and fluid velocities easier to validate experimentally than Biot's fluid velocity variable?","318","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q006","Why are Derski's solid and fluid velocities easier to validate experimentally than Biot's fluid velocity variable?","318","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q006","Why are Derski's solid and fluid velocities easier to validate experimentally than Biot's fluid velocity variable?","318","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q007","What quantity did Schleicher use to characterize the limit of the elastic range in frictional materials?","324","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q007","What quantity did Schleicher use to characterize the limit of the elastic range in frictional materials?","324","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q007","What quantity did Schleicher use to characterize the limit of the elastic range in frictional materials?","324","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q007","What quantity did Schleicher use to characterize the limit of the elastic range in frictional materials?","324","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q008","Why can the plastic strain tensor fail to represent deformation history?","326,327","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q008","Why can the plastic strain tensor fail to represent deformation history?","326,327","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q008","Why can the plastic strain tensor fail to represent deformation history?","326,327","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q008","Why can the plastic strain tensor fail to represent deformation history?","326,327","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q009","What limitation of open yield surfaces was the cap model designed to address?","330","False","False","2","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q009","What limitation of open yield surfaces was the cap model designed to address?","330","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q009","What limitation of open yield surfaces was the cap model designed to address?","330","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q009","What limitation of open yield surfaces was the cap model designed to address?","330","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q010","How is constituent incompressibility imposed in Mills's two-fluid mixture formulation?","334","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q010","How is constituent incompressibility imposed in Mills's two-fluid mixture formulation?","334","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q010","How is constituent incompressibility imposed in Mills's two-fluid mixture formulation?","334","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q010","How is constituent incompressibility imposed in Mills's two-fluid mixture formulation?","334","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q011","What classical stress system illustrates the balance of equilibrated force in voided elastic materials?","337","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q011","What classical stress system illustrates the balance of equilibrated force in voided elastic materials?","337","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q011","What classical stress system illustrates the balance of equilibrated force in voided elastic materials?","337","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q011","What classical stress system illustrates the balance of equilibrated force in voided elastic materials?","337","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q012","What constraint follows from combining incompressible constituents with the volume-fraction concept in saturated porous media?","340","False","False","","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q012","What constraint follows from combining incompressible constituents with the volume-fraction concept in saturated porous media?","340","False","True","","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q012","What constraint follows from combining incompressible constituents with the volume-fraction concept in saturated porous media?","340","False","True","","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q012","What constraint follows from combining incompressible constituents with the volume-fraction concept in saturated porous media?","340","False","True","","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q013","How does volume averaging connect microscale constituent fields to a continuum porous-medium description?","345,346","False","True","2","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q013","How does volume averaging connect microscale constituent fields to a continuum porous-medium description?","345,346","True","True","2","1","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q013","How does volume averaging connect microscale constituent fields to a continuum porous-medium description?","345,346","True","True","2","1","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q013","How does volume averaging connect microscale constituent fields to a continuum porous-medium description?","345,346","True","True","2","1","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q014","When must fluid reference positions belong to the solid phase's reference placement?","349,350","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q014","When must fluid reference positions belong to the solid phase's reference placement?","349,350","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q014","When must fluid reference positions belong to the solid phase's reference placement?","349,350","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q014","When must fluid reference positions belong to the solid phase's reference placement?","349,350","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q015","Why does incompressibility of individual grains not make a granular skeleton macroscopically incompressible?","352","False","False","","3","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q015","Why does incompressibility of individual grains not make a granular skeleton macroscopically incompressible?","352","False","True","","3","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q015","Why does incompressibility of individual grains not make a granular skeleton macroscopically incompressible?","352","False","True","","3","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q015","Why does incompressibility of individual grains not make a granular skeleton macroscopically incompressible?","352","False","True","","3","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q016","Why is the porous-solid deformation gradient decomposed multiplicatively into two parts?","354","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q016","Why is the porous-solid deformation gradient decomposed multiplicatively into two parts?","354","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q016","Why is the porous-solid deformation gradient decomposed multiplicatively into two parts?","354","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q016","Why is the porous-solid deformation gradient decomposed multiplicatively into two parts?","354","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q017","Which balance laws must be written for every constituent in a porous-medium mixture?","358","False","False","8","8","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q017","Which balance laws must be written for every constituent in a porous-medium mixture?","358","False","False","8","8","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q017","Which balance laws must be written for every constituent in a porous-medium mixture?","358","False","False","8","8","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q017","Which balance laws must be written for every constituent in a porous-medium mixture?","358","True","True","8","8","0.125","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q018","Why is entropy especially difficult to interpret for irreversible processes?","364,365","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q018","Why is entropy especially difficult to interpret for irreversible processes?","364,365","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q018","Why is entropy especially difficult to interpret for irreversible processes?","364,365","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q018","Why is entropy especially difficult to interpret for irreversible processes?","364,365","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q019","Why does introducing solid and fluid volume fractions create a closure problem in porous-media theory?","366","False","False","2","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q019","Why does introducing solid and fluid volume fractions create a closure problem in porous-media theory?","366","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q019","Why does introducing solid and fluid volume fractions create a closure problem in porous-media theory?","366","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q019","Why does introducing solid and fluid volume fractions create a closure problem in porous-media theory?","366","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q020","Which four continuum-mechanics principles should porous-medium constitutive equations satisfy beyond matching experiments?","371,372","False","False","8","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q020","Which four continuum-mechanics principles should porous-medium constitutive equations satisfy beyond matching experiments?","371,372","False","True","8","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q020","Which four continuum-mechanics principles should porous-medium constitutive equations satisfy beyond matching experiments?","371,372","False","True","8","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q020","Which four continuum-mechanics principles should porous-medium constitutive equations satisfy beyond matching experiments?","371,372","True","True","8","2","0.125","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q021","Why can a purely formal evaluation of the entropy inequality yield an unreliable porous-material model?","375","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q021","Why can a purely formal evaluation of the entropy inequality yield an unreliable porous-material model?","375","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q021","Why can a purely formal evaluation of the entropy inequality yield an unreliable porous-material model?","375","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q021","Why can a purely formal evaluation of the entropy inequality yield an unreliable porous-material model?","375","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q022","Which constituent-compressibility combinations require separate entropy-inequality treatments in a binary porous medium?","377","False","False","2","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q022","Which constituent-compressibility combinations require separate entropy-inequality treatments in a binary porous medium?","377","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q022","Which constituent-compressibility combinations require separate entropy-inequality treatments in a binary porous medium?","377","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q022","Which constituent-compressibility combinations require separate entropy-inequality treatments in a binary porous medium?","377","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q023","Why must the saturation-constraint multiplier be determined constitutively in the compressible binary porous model?","380","False","False","5","5","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q023","Why must the saturation-constraint multiplier be determined constitutively in the compressible binary porous model?","380","False","False","5","5","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q023","Why must the saturation-constraint multiplier be determined constitutively in the compressible binary porous model?","380","True","True","5","5","0.2","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q023","Why must the saturation-constraint multiplier be determined constitutively in the compressible binary porous model?","380","True","True","5","5","0.2","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q024","What constituent assumptions define the first-type hybrid binary model considered for thermoelastic porous solids?","390","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q024","What constituent assumptions define the first-type hybrid binary model considered for thermoelastic porous solids?","390","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q024","What constituent assumptions define the first-type hybrid binary model considered for thermoelastic porous solids?","390","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q024","What constituent assumptions define the first-type hybrid binary model considered for thermoelastic porous solids?","390","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q025","Which developments provided successful constitutive descriptions of finite elastic distortions?","390","False","False","2","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q025","Which developments provided successful constitutive descriptions of finite elastic distortions?","390","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q025","Which developments provided successful constitutive descriptions of finite elastic distortions?","390","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q025","Which developments provided successful constitutive descriptions of finite elastic distortions?","390","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q026","Why is a separate history tensor introduced for hardening rather than using plastic strain alone?","405","False","False","2","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q026","Why is a separate history tensor introduced for hardening rather than using plastic strain alone?","405","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q026","Why is a separate history tensor introduced for hardening rather than using plastic strain alone?","405","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q026","Why is a separate history tensor introduced for hardening rather than using plastic strain alone?","405","True","True","2","2","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q027","Why do granular and brittle skeletons require different plasticity models from metals?","407,408","False","False","5","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q027","Why do granular and brittle skeletons require different plasticity models from metals?","407,408","False","True","5","2","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q027","Why do granular and brittle skeletons require different plasticity models from metals?","407,408","True","True","5","2","0.2","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q027","Why do granular and brittle skeletons require different plasticity models from metals?","407,408","True","True","5","2","0.2","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q028","What practical advantage does the proposed single-surface yield condition have over a cap model?","410","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q028","What practical advantage does the proposed single-surface yield condition have over a cap model?","410","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q028","What practical advantage does the proposed single-surface yield condition have over a cap model?","410","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q028","What practical advantage does the proposed single-surface yield condition have over a cap model?","410","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q029","How does the information needed for elastic response differ from that needed for plastic response in porous media?","407","False","False","","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q029","How does the information needed for elastic response differ from that needed for plastic response in porous media?","407","False","False","","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q029","How does the information needed for elastic response differ from that needed for plastic response in porous media?","407","False","False","","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q029","How does the information needed for elastic response differ from that needed for plastic response in porous media?","407","False","True","","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q030","What four ingredients form the classical plasticity framework described for porous skeletons?","407","False","False","","5","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q030","What four ingredients form the classical plasticity framework described for porous skeletons?","407","False","False","","5","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q030","What four ingredients form the classical plasticity framework described for porous skeletons?","407","False","True","","5","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q030","What four ingredients form the classical plasticity framework described for porous skeletons?","407","False","True","","5","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q031","Which Mohr-Coulomb parameter can be used to describe the hardening process?","411","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q031","Which Mohr-Coulomb parameter can be used to describe the hardening process?","411","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q031","Which Mohr-Coulomb parameter can be used to describe the hardening process?","411","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q031","Which Mohr-Coulomb parameter can be used to describe the hardening process?","411","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q032","Why is a plastic-potential flow rule common in geomechanical software despite its drawbacks?","414","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q032","Why is a plastic-potential flow rule common in geomechanical software despite its drawbacks?","414","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q032","Why is a plastic-potential flow rule common in geomechanical software despite its drawbacks?","414","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q032","Why is a plastic-potential flow rule common in geomechanical software despite its drawbacks?","414","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q033","What transport processes follow the constitutive relation for an incompressible viscous fluid in a rigid porous solid?","418","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q033","What transport processes follow the constitutive relation for an incompressible viscous fluid in a rigid porous solid?","418","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q033","What transport processes follow the constitutive relation for an incompressible viscous fluid in a rigid porous solid?","418","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q033","What transport processes follow the constitutive relation for an incompressible viscous fluid in a rigid porous solid?","418","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q034","How should capillary and friction forces enter the local momentum balance of a saturated porous medium?","428,429","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q034","How should capillary and friction forces enter the local momentum balance of a saturated porous medium?","428,429","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q034","How should capillary and friction forces enter the local momentum balance of a saturated porous medium?","428,429","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q034","How should capillary and friction forces enter the local momentum balance of a saturated porous medium?","428,429","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q035","What relation between phase velocity and pressure gradient yields Fick's first diffusion law for an ideal gas?","428","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q035","What relation between phase velocity and pressure gradient yields Fick's first diffusion law for an ideal gas?","428","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q035","What relation between phase velocity and pressure gradient yields Fick's first diffusion law for an ideal gas?","428","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q035","What relation between phase velocity and pressure gradient yields Fick's first diffusion law for an ideal gas?","428","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q036","What is the standard approach to model the poroelastic material?","430","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q036","What is the standard approach to model the poroelastic material?","430","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q036","What is the standard approach to model the poroelastic material?","430","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q036","What is the standard approach to model the poroelastic material?","430","False","False","","","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q037","Which three interaction effects are fundamental in liquid-saturated porous solids?","432","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q037","Which three interaction effects are fundamental in liquid-saturated porous solids?","432","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q037","Which three interaction effects are fundamental in liquid-saturated porous solids?","432","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q037","Which three interaction effects are fundamental in liquid-saturated porous solids?","432","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q038","What wave modes does Biot's compressible-constituent theory conventionally predict in fluid-saturated porous media?","436","False","False","6","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q038","What wave modes does Biot's compressible-constituent theory conventionally predict in fluid-saturated porous media?","436","False","False","6","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q038","What wave modes does Biot's compressible-constituent theory conventionally predict in fluid-saturated porous media?","436","False","False","6","6","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q038","What wave modes does Biot's compressible-constituent theory conventionally predict in fluid-saturated porous media?","436","True","True","6","6","0.16666666666666666","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q039","Why does the one-dimensional saturated-medium response resemble viscoelastic behavior?","442","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q039","Why does the one-dimensional saturated-medium response resemble viscoelastic behavior?","442","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q039","Why does the one-dimensional saturated-medium response resemble viscoelastic behavior?","442","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q039","Why does the one-dimensional saturated-medium response resemble viscoelastic behavior?","442","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q040","How many independent dilatational waves remain for sinusoidal loading when both phases are incompressible?","444,445,446,447","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q040","How many independent dilatational waves remain for sinusoidal loading when both phases are incompressible?","444,445,446,447","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
